substance,subsystem acronym,subsystem name,subsystem,process name,process
22,PEM,aggregate production of engineering materials,1,production of engineering materials,1
22,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
22,USE,aggregate use,3,use,1
22,USE,use,3;1,mining,1
22,USE,use,3;1,medical,2
22,USE,use,3;1,lighting,3
22,WMR,aggregate waste management,4,waste management,1
22,ENV,aggregate environment,5,environment,1
22,ENV,environment,5;1,tailings,1
22,ENV,environment,5;1,slag,2
22,ENV,environment,5;1,sludge slimes,3
22,ENV,environment,5;1,leachate,4
22,ENV,environment,5;1,landfill,5
22,ENV,environment,5;1,lithosphere economic resources,6
22,ENV,environment,5;1,ashes particulates,7
22,ENV,environment,5;1,hazardous waste,8
22,ENV,environment,5;1,dissipation,9
22,ENV,environment,5;1,earth orbit,10
22,ENV,environment,5;1,moon,11
22,ENV,environment,5;1,atmosphere,12
22,ENV,environment,5;1,fossil fuel resources,13
22,ENV,environment,5;1,agricultural biomass,14
22,ENV,environment,5;1,terrestrial biomass,15
22,ENV,environment,5;1,soil,16
22,ENV,environment,5;1,continental regolith,17
22,ENV,environment,5;1,freshwater,18
22,ENV,environment,5;1,oceans,19
22,ENV,environment,5;1,ocean biomass,20
22,ENV,environment,5;1,mantle,21
22,ENV,environment,5;1,core,22
22,ENV,environment,5;1,oceanic regolith,23
22,ENV,environment,5;1,consolidated crust,24
22,ENV,environment,5;1,universe non earth planetary bodies,25
22,ENV,dissipation,5;1;9,land,1
22,ENV,dissipation,5;1;9,water bodies,2
22,ENV,dissipation,5;1;9,air,3
22,ENV,oceanic regolith,5;1;23,continental margin regolith,1
22,ENV,oceanic regolith,5;1;23,seafloor regolith,2
22,ENV,consolidated crust,5;1;24,upper continental crust,1
22,ENV,consolidated crust,5;1;24,middle continental crust,2
22,ENV,consolidated crust,5;1;24,lower continental crust,3
22,ENV,consolidated crust,5;1;24,oceanic crust,4
