substance,subsystem acronym,subsystem name,subsystem,process name,process
31,PEM,aggregate production of engineering materials,1,production of engineering materials,1
31,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
31,USE,aggregate use,3,use,1
31,USE,use,3;1,steels,1
31,USE,use,3;1,stainless steels,1
31,USE,use,3;1,chemicals,1
31,WMR,aggregate waste management,4,waste management,1
31,ENV,aggregate environment,5,environment,1
31,ENV,environment,5;1,tailings,1
31,ENV,environment,5;1,slag,2
31,ENV,environment,5;1,sludge slimes,3
31,ENV,environment,5;1,leachate,4
31,ENV,environment,5;1,landfill,5
31,ENV,environment,5;1,lithosphere economic resources,6
31,ENV,environment,5;1,ashes particulates,7
31,ENV,environment,5;1,hazardous waste,8
31,ENV,environment,5;1,dissipation,9
31,ENV,environment,5;1,earth orbit,10
31,ENV,environment,5;1,moon,11
31,ENV,environment,5;1,atmosphere,12
31,ENV,environment,5;1,fossil fuel resources,13
31,ENV,environment,5;1,agricultural biomass,14
31,ENV,environment,5;1,terrestrial biomass,15
31,ENV,environment,5;1,soil,16
31,ENV,environment,5;1,continental regolith,17
31,ENV,environment,5;1,freshwater,18
31,ENV,environment,5;1,oceans,19
31,ENV,environment,5;1,ocean biomass,20
31,ENV,environment,5;1,mantle,21
31,ENV,environment,5;1,core,22
31,ENV,environment,5;1,oceanic regolith,23
31,ENV,environment,5;1,consolidated crust,24
31,ENV,environment,5;1,universe non earth planetary bodies,25
31,ENV,dissipation,5;1;9,land,1
31,ENV,dissipation,5;1;9,water bodies,2
31,ENV,dissipation,5;1;9,air,3
31,ENV,oceanic regolith,5;1;23,continental margin regolith,1
31,ENV,oceanic regolith,5;1;23,seafloor regolith,2
31,ENV,consolidated crust,5;1;24,upper continental crust,1
31,ENV,consolidated crust,5;1;24,middle continental crust,2
31,ENV,consolidated crust,5;1;24,lower continental crust,3
31,ENV,consolidated crust,5;1;24,oceanic crust,4
