substance,subsystem acronym,subsystem name,subsystem,process name,process
46,PEM,aggregate production of engineering materials,1,production of engineering materials,1
46,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
46,USE,aggregate use,3,use,1
46,USE,use,3;1,electronics,1
46,USE,use,3;1,cans,2
46,USE,use,3;1,chemicals,3
46,WMR,aggregate waste management,4,waste management,1
46,ENV,aggregate environment,5,environment,1
46,ENV,environment,5;1,tailings,1
46,ENV,environment,5;1,slag,2
46,ENV,environment,5;1,sludge slimes,3
46,ENV,environment,5;1,leachate,4
46,ENV,environment,5;1,landfill,5
46,ENV,environment,5;1,lithosphere economic resources,6
46,ENV,environment,5;1,ashes particulates,7
46,ENV,environment,5;1,hazardous waste,8
46,ENV,environment,5;1,dissipation,9
46,ENV,environment,5;1,earth orbit,10
46,ENV,environment,5;1,moon,11
46,ENV,environment,5;1,atmosphere,12
46,ENV,environment,5;1,fossil fuel resources,13
46,ENV,environment,5;1,agricultural biomass,14
46,ENV,environment,5;1,terrestrial biomass,15
46,ENV,environment,5;1,soil,16
46,ENV,environment,5;1,continental regolith,17
46,ENV,environment,5;1,freshwater,18
46,ENV,environment,5;1,oceans,19
46,ENV,environment,5;1,ocean biomass,20
46,ENV,environment,5;1,mantle,21
46,ENV,environment,5;1,core,22
46,ENV,environment,5;1,oceanic regolith,23
46,ENV,environment,5;1,consolidated crust,24
46,ENV,environment,5;1,universe non earth planetary bodies,25
46,ENV,dissipation,5;1;9,land,1
46,ENV,dissipation,5;1;9,water bodies,2
46,ENV,dissipation,5;1;9,air,3
46,ENV,oceanic regolith,5;1;23,continental margin regolith,1
46,ENV,oceanic regolith,5;1;23,seafloor regolith,2
46,ENV,consolidated crust,5;1;24,upper continental crust,1
46,ENV,consolidated crust,5;1;24,middle continental crust,2
46,ENV,consolidated crust,5;1;24,lower continental crust,3
46,ENV,consolidated crust,5;1;24,oceanic crust,4
