substance,subsystem acronym,subsystem name,subsystem,process name,process
39,PEM,aggregate production of engineering materials,1,production of engineering materials,1
39,PEM,production of engineering materials,1;1,mining and beneficiation,1
39,PEM,production of engineering materials,1;1,smelting and refining,2
39,PEM,smelting and refining,1;1;2,smelting,1
39,PEM,smelting and refining,1;1;2,refining,2
39,PEM,mining beneficiation,1;1;1,ore and concentrate,1
39,PEM,mining beneficiation,1;1;1,tailings,2
39,PEM,smelting and refining,1;1;2,products,1
39,PEM,smelting and refining,1;1;2,waste,2
39,PEM,smelting,1;1;2;1,product,1
39,PEM,smelting,1;1;2;1,waste,2
39,PEM,refining,1;1;2;2,product,1
39,PEM,refining,1;1;2;2,waste,2
39,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
39,F&M,fabrication and manufacturing,2;1,fabrication,1
39,F&M,fabrication and manufacturing,2;1,manufacturing,2
39,F&M,fabrication,2;1;1,products,1
39,F&M,fabrication,2;1;1,scrap,2
39,F&M,fabrication,2;1;1,waste,3
39,F&M,manufacturing,2;1;2,products,1
39,F&M,manufacturing,2;1;2,scrap,2
39,F&M,manufacturing,2;1;2,waste,3
39,USE,aggregate use,3,use,1
39,USE,use,3;1,non-dissipative,1
39,USE,use,3;1,dissipative,2
39,USE,dissipative,3;1;2,industrial,1
39,USE,dissipative,3;1;2,medical biomedical and dental,2
39,USE,dissipative,3;1;2,electrical and electronic,3
39,USE,dissipative,3;1;2,jewelry,4
39,USE,dissipative,3;1;2,autocatalysts,5
39,USE,dissipative,3;1;2,other,6
39,USE,aggregate use,3,use,1'
39,USE,use,3;1',superalloys,1
39,USE,use,3;1',catalysts,2
39,USE,use,3;1',crucibles,3
39,WMR,aggregate waste management,4,waste management,1
39,WMR,waste management,4;1,recycled scrap,1
39,WMR,waste management,4;1,not recycled,2
39,WMR,not recycled,4;1;2,industrial,1
39,WMR,not recycled,4;1;2,medical biomedical and dental,2
39,WMR,not recycled,4;1;2,electrical and electronic,3
39,WMR,not recycled,4;1;2,jewelry,4
39,WMR,not recycled,4;1;2,autocatalysts,5
39,WMR,not recycled,4;1;2,other,6
39,ENV,aggregate environment,5,environment,1
39,ENV,environment,5;1,tailings,1
39,ENV,environment,5;1,slag,2
39,ENV,environment,5;1,sludge slimes,3
39,ENV,environment,5;1,leachate,4
39,ENV,environment,5;1,landfill,5
39,ENV,environment,5;1,lithosphere economic resources,6
39,ENV,environment,5;1,ashes particulates,7
39,ENV,environment,5;1,hazardous waste,8
39,ENV,environment,5;1,dissipation,9
39,ENV,environment,5;1,earth orbit,10
39,ENV,environment,5;1,moon,11
39,ENV,environment,5;1,atmosphere,12
39,ENV,environment,5;1,fossil fuel resources,13
39,ENV,environment,5;1,agricultural biomass,14
39,ENV,environment,5;1,terrestrial biomass,15
39,ENV,environment,5;1,soil,16
39,ENV,environment,5;1,continental regolith,17
39,ENV,environment,5;1,freshwater,18
39,ENV,environment,5;1,oceans,19
39,ENV,environment,5;1,ocean biomass,20
39,ENV,environment,5;1,mantle,21
39,ENV,environment,5;1,core,22
39,ENV,environment,5;1,oceanic regolith,23
39,ENV,environment,5;1,consolidated crust,24
39,ENV,environment,5;1,universe non earth planetary bodies,25
39,ENV,dissipation,5;1;9,landfill,1
39,ENV,dissipation,5;1;9,water bodies,2
39,ENV,dissipation,5;1;9,air,3
39,ENV,oceanic regolith,5;1;23,continental margin regolith,1
39,ENV,oceanic regolith,5;1;23,seafloor regolith,2
39,ENV,consolidated crust,5;1;24,upper continental crust,1
39,ENV,consolidated crust,5;1;24,middle continental crust,2
39,ENV,consolidated crust,5;1;24,lower continental crust,3
39,ENV,consolidated crust,5;1;24,oceanic crust,4
