substance,subsystem acronym,subsystem name,subsystem,process name,process
50,PEM,aggregate production of engineering materials,1,production of engineering materials,1
50,PEM,production of engineering materials,1;1,mining and beneficiation,1
50,PEM,production of engineering materials,1;1,smelting and converting,2
50,PEM,production of engineering materials,1;1,refining,3
50,PEM,mining and beneficiation,1;1;1,product,1
50,PEM,mining and beneficiation,1;1;1,tailings,2
50,PEM,smelting and converting,1;1;2,product,1
50,PEM,smelting and converting,1;1;2,slag & other residues,2
50,PEM,refining,1;1;3,product,1
50,PEM,refining,1;1;3,residues,2
50,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
50,F&M,fabrication and manufacturing,2;1,final goods,1
50,F&M,fabrication and manufacturing,2;1,scrap,2
50,F&M,fabrication and manufacturing,2;1,residues,3
50,F&M,final goods,2;1;1,iron and steel,1
50,F&M,final goods,2;1;1,additives to nonferrous alloys,2
50,F&M,final goods,2;1;1,chemicals and catalysts,3
50,F&M,final goods,2;1;1,rubber,4
50,F&M,final goods,2;1;1,electronics,5
50,F&M,electronics,2;1;1;1,thermoelectrics,1
50,F&M,electronics,2;1;1;1,photoreceptors,2
50,USE,aggregate use,3,use,1
50,USE,use,3;1,non-dissipative,1
50,USE,use,3;1,dissipative,2
50,USE,aggregate use,3,use,1'
50,USE,use,3;1',alloys,1
50,USE,use,3;1',chemicals,2
50,USE,use,3;1',electrical,3
50,WMR,aggregate waste management,4,waste management,1
50,WMR,waste management,4;1,recycled scrap,1
50,WMR,waste management,4;1,waste,2
50,ENV,aggregate environment,5,environment,1
50,ENV,environment,5;1,tailings,1
50,ENV,environment,5;1,slag,2
50,ENV,environment,5;1,sludge slimes,3
50,ENV,environment,5;1,leachate,4
50,ENV,environment,5;1,landfill,5
50,ENV,environment,5;1,lithosphere economic resources,6
50,ENV,environment,5;1,ashes particulates,7
50,ENV,environment,5;1,hazardous waste,8
50,ENV,environment,5;1,dissipation,9
50,ENV,environment,5;1,earth orbit,10
50,ENV,environment,5;1,moon,11
50,ENV,environment,5;1,atmosphere,12
50,ENV,environment,5;1,fossil fuel resources,13
50,ENV,environment,5;1,agricultural biomass,14
50,ENV,environment,5;1,terrestrial biomass,15
50,ENV,environment,5;1,soil,16
50,ENV,environment,5;1,continental regolith,17
50,ENV,environment,5;1,freshwater,18
50,ENV,environment,5;1,oceans,19
50,ENV,environment,5;1,ocean biomass,20
50,ENV,environment,5;1,mantle,21
50,ENV,environment,5;1,core,22
50,ENV,environment,5;1,oceanic regolith,23
50,ENV,environment,5;1,consolidated crust,24
50,ENV,environment,5;1,universe non earth planetary bodies,25
50,ENV,dissipation,5;1;9,land,1
50,ENV,dissipation,5;1;9,water bodies,2
50,ENV,dissipation,5;1;9,air,3
50,ENV,oceanic regolith,5;1;23,continental margin regolith,1
50,ENV,oceanic regolith,5;1;23,seafloor regolith,2
50,ENV,consolidated crust,5;1;24,upper continental crust,1
50,ENV,consolidated crust,5;1;24,middle continental crust,2
50,ENV,consolidated crust,5;1;24,lower continental crust,3
50,ENV,consolidated crust,5;1;24,oceanic crust,4
