substance,subsystem acronym,subsystem name,subsystem,process name,process
44,PEM,aggregate production of engineering materials,1,production of engineering materials,1
44,PEM,production of engineering materials,1;1,mining and beneficiation,1
44,PEM,production of engineering materials,1;1,smelting and converting,2
44,PEM,production of engineering materials,1;1,refining,3
44,PEM,mining and beneficiation,1;1;1,product,1
44,PEM,mining and beneficiation,1;1;1,tailings,2
44,PEM,smelting and converting,1;1;2,product,1
44,PEM,smelting and converting,1;1;2,slag & other residues,2
44,PEM,refining,1;1;3,product,1
44,PEM,refining,1;1;3,residues,2
44,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
44,F&M,fabrication and manufacturing,2;1,final goods,1
44,F&M,fabrication and manufacturing,2;1,scrap,2
44,F&M,fabrication and manufacturing,2;1,residues,3
44,F&M,final goods,2;1;1,electronics,1
44,F&M,final goods,2;1;1,glass,2
44,F&M,final goods,2;1;1,chemicals and pigments,3
44,F&M,final goods,2;1;1,other,4
44,F&M,electronics,2;1;1;1,rectifiers,1
44,F&M,electronics,2;1;1;1,photoreceptors,2
44,F&M,electronics,2;1;1;1,photovoltaics,3
44,F&M,other,2;1;1;4,biological,1
44,F&M,other,2;1;1;4,metallurgical,2
44,USE,aggregate use,3,use,1
44,USE,use,3;1,non-dissipative,1
44,USE,use,3;1,dissipative,2
44,USE,aggregate use,3,use,1'
44,USE,use,3;1',rectifiers,1
44,USE,use,3;1',photoreceptors,2
44,USE,use,3;1',photovoltaics,3
44,USE,aggregate use,3,use,1''
44,USE,use,3;1'',glasses,1
44,USE,use,3;1'',alloys,2
44,USE,use,3;1'',agriculture,3
44,WMR,aggregate waste management,4,waste management,1
44,WMR,waste management,4;1,recycled scrap,1
44,WMR,waste management,4;1,waste,2
44,ENV,aggregate environment,5,environment,1
44,ENV,environment,5;1,tailings,1
44,ENV,environment,5;1,slag,2
44,ENV,environment,5;1,sludge slimes,3
44,ENV,environment,5;1,leachate,4
44,ENV,environment,5;1,landfill,5
44,ENV,environment,5;1,lithosphere economic resources,6
44,ENV,environment,5;1,ashes particulates,7
44,ENV,environment,5;1,hazardous waste,8
44,ENV,environment,5;1,dissipation,9
44,ENV,environment,5;1,earth orbit,10
44,ENV,environment,5;1,moon,11
44,ENV,environment,5;1,atmosphere,12
44,ENV,environment,5;1,fossil fuel resources,13
44,ENV,environment,5;1,agricultural biomass,14
44,ENV,environment,5;1,terrestrial biomass,15
44,ENV,environment,5;1,soil,16
44,ENV,environment,5;1,continental regolith,17
44,ENV,environment,5;1,freshwater,18
44,ENV,environment,5;1,oceans,19
44,ENV,environment,5;1,ocean biomass,20
44,ENV,environment,5;1,mantle,21
44,ENV,environment,5;1,core,22
44,ENV,environment,5;1,oceanic regolith,23
44,ENV,environment,5;1,consolidated crust,24
44,ENV,environment,5;1,universe non earth planetary bodies,25
44,ENV,dissipation,5;1;9,land,1
44,ENV,dissipation,5;1;9,water bodies,2
44,ENV,dissipation,5;1;9,air,3
44,ENV,oceanic regolith,5;1;23,continental margin regolith,1
44,ENV,oceanic regolith,5;1;23,seafloor regolith,2
44,ENV,consolidated crust,5;1;24,upper continental crust,1
44,ENV,consolidated crust,5;1;24,middle continental crust,2
44,ENV,consolidated crust,5;1;24,lower continental crust,3
44,ENV,consolidated crust,5;1;24,oceanic crust,4
