substance,subsystem acronym,subsystem name,subsystem,process name,process
20,PEM,aggregate production of engineering materials,1,production of engineering materials,1
20,PEM,production of engineering materials,1;1,mining and beneficiation,1
20,PEM,production of engineering materials,1;1,smelting and refining,2
20,PEM,mining beneficiation,1;1;1,ore and concentrate,1
20,PEM,mining beneficiation,1;1;1,tailings,2
20,PEM,smelting and refining,1;1;2,products,1
20,PEM,smelting and refining,1;1;2,waste,2
20,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
20,F&M,fabrication and manufacturing,2;1,fabrication,1
20,F&M,fabrication and manufacturing,2;1,manufacturing,2
20,F&M,fabrication,2;1;1,products,1
20,F&M,fabrication,2;1;1,scrap,2
20,F&M,fabrication,2;1;1,waste,3
20,F&M,manufacturing,2;1;2,products,1
20,F&M,manufacturing,2;1;2,scrap,2
20,F&M,manufacturing,2;1;2,waste,3
20,USE,aggregate use,3,use,1
20,USE,use,3;1,non-dissipative,1
20,USE,use,3;1,dissipative,2
20,USE,aggregate use,3,use,1'
20,USE,use,3;1',fiber optics,1
20,USE,use,3;1',infrared optics,2
20,USE,use,3;1',catalysts,3
20,WMR,aggregate waste management,4,waste management,1
20,WMR,waste management,4;1,recycled scrap,1
20,WMR,waste management,4;1,not recycled,2
20,ENV,aggregate environment,5,environment,1
20,ENV,environment,5;1,tailings,1
20,ENV,environment,5;1,slag,2
20,ENV,environment,5;1,sludge slimes,3
20,ENV,environment,5;1,leachate,4
20,ENV,environment,5;1,landfill,5
20,ENV,environment,5;1,lithosphere economic resources,6
20,ENV,environment,5;1,ashes particulates,7
20,ENV,environment,5;1,hazardous waste,8
20,ENV,environment,5;1,dissipation,9
20,ENV,environment,5;1,earth orbit,10
20,ENV,environment,5;1,moon,11
20,ENV,environment,5;1,atmosphere,12
20,ENV,environment,5;1,fossil fuel resources,13
20,ENV,environment,5;1,agricultural biomass,14
20,ENV,environment,5;1,terrestrial biomass,15
20,ENV,environment,5;1,soil,16
20,ENV,environment,5;1,continental regolith,17
20,ENV,environment,5;1,freshwater,18
20,ENV,environment,5;1,oceans,19
20,ENV,environment,5;1,ocean biomass,20
20,ENV,environment,5;1,mantle,21
20,ENV,environment,5;1,core,22
20,ENV,environment,5;1,oceanic regolith,23
20,ENV,environment,5;1,consolidated crust,24
20,ENV,environment,5;1,universe non earth planetary bodies,25
20,ENV,dissipation,5;1;9,landfill,1
20,ENV,dissipation,5;1;9,water bodies,2
20,ENV,dissipation,5;1;9,air,3
20,ENV,oceanic regolith,5;1;23,continental margin regolith,1
20,ENV,oceanic regolith,5;1;23,seafloor regolith,2
20,ENV,consolidated crust,5;1;24,upper continental crust,1
20,ENV,consolidated crust,5;1;24,middle continental crust,2
20,ENV,consolidated crust,5;1;24,lower continental crust,3
20,ENV,consolidated crust,5;1;24,oceanic crust,4
