substance,subsystem acronym,subsystem name,subsystem,process name,process
38,PEM,aggregate production of engineering materials,1,production of engineering materials,1
38,PEM,production of engineering materials,1;1,products,1
38,PEM,production of engineering materials,1;1,grains and nuggets,2
38,PEM,production of engineering materials,1;1,conception,3
38,PEM,production of engineering materials,1;1,tailings,4
38,PEM,aggregate production of engineering materials,1,production of engineering materials,1'
38,PEM,production of engineering materials,1;1',concentration,1
38,PEM,production of engineering materials,1;1',smelting,2
38,PEM,production of engineering materials,1;1',refining,3
38,PEM,concentration,1;1';1,product,1
38,PEM,concentration,1;1';1,waste,2
38,PEM,smelting,1;1';2,product,1
38,PEM,smelting,1;1';2,waste,2
38,PEM,refining,1;1';3,product,1
38,PEM,refining,1;1';3,waste,2
38,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
38,F&M,fabrication and manufacturing,2;1,semis,1
38,F&M,fabrication and manufacturing,2;1,finished products,2
38,F&M,finished products,2;1;2,catalysts,1
38,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1'
38,F&M,fabrication and manufacturing,2;1',fabrication,1
38,F&M,fabrication and manufacturing,2;1',manufacturing,2
38,F&M,fabrication,2;1';1,product,1
38,F&M,fabrication,2;1';1,waste,2
38,F&M,manufacturing,2;1';2,product,1
38,F&M,manufacturing,2;1';2,waste,2
38,F&M,waste,2;1';2;2,industrial,1
38,F&M,waste,2;1';2;2,medical biomedical and dental,2
38,F&M,waste,2;1';2;2,electrical and electronic,3
38,F&M,waste,2;1';2;2,jewelry,4
38,F&M,waste,2;1';2;2,autocatalysts,5
38,F&M,waste,2;1';2;2,other,6
38,USE,aggregate use,3,use,1
38,USE,use,3;1,automobiles,1
38,USE,use,3;1,medical,2
38,USE,use,3;1,chemical,3
38,USE,use,3;1,petrochemical,4
38,USE,use,3;1,electrical and electronic,5
38,USE,use,3;1,glass,6
38,USE,use,3;1,jewelry,7
38,USE,use,3;1,steel,8
38,USE,use,3;1,aviation,9
38,USE,use,3;1,military,10
38,USE,use,3;1;1,autocatalysts,1
38,USE,aggregate use,3,use,1'
38,USE,use,3;1',non-dissipative,1
38,USE,use,3;1',dissipative,2
38,USE,dissipative,3;1';2,industrial,1
38,USE,dissipative,3;1';2,medical biomedical and dental,2
38,USE,dissipative,3;1';2,electrical and electronic,3
38,USE,dissipative,3;1';2,jewelry,4
38,USE,dissipative,3;1';2,autocatalysts,5
38,USE,dissipative,3;1';2,other,6
38,WMR,aggregate waste management,4,waste management,1
38,WMR,waste management,4;1,scrap,1
38,WMR,waste management,4;1,waste,2
38,WMR,waste,4;1;2,industrial,1
38,WMR,waste,4;1;2,medical biomedical and dental,2
38,WMR,waste,4;1;2,electrical and electronic,3
38,WMR,waste,4;1;2,jewelry,4
38,WMR,waste,4;1;2,autocatalysts,5
38,WMR,waste,4;1;2,other,6
38,ENV,aggregate environment,5,environment,1
38,ENV,environment,5;1,tailings,1
38,ENV,environment,5;1,slag,2
38,ENV,environment,5;1,sludge slimes,3
38,ENV,environment,5;1,leachate,4
38,ENV,environment,5;1,landfill,5
38,ENV,environment,5;1,lithosphere economic resources,6
38,ENV,environment,5;1,ashes particulates,7
38,ENV,environment,5;1,hazardous waste,8
38,ENV,environment,5;1,dissipation,9
38,ENV,environment,5;1,earth orbit,10
38,ENV,environment,5;1,moon,11
38,ENV,environment,5;1,atmosphere,12
38,ENV,environment,5;1,fossil fuel resources,13
38,ENV,environment,5;1,agricultural biomass,14
38,ENV,environment,5;1,terrestrial biomass,15
38,ENV,environment,5;1,soil,16
38,ENV,environment,5;1,continental regolith,17
38,ENV,environment,5;1,freshwater,18
38,ENV,environment,5;1,oceans,19
38,ENV,environment,5;1,ocean biomass,20
38,ENV,environment,5;1,mantle,21
38,ENV,environment,5;1,core,22
38,ENV,environment,5;1,oceanic regolith,23
38,ENV,environment,5;1,consolidated crust,24
38,ENV,environment,5;1,universe non earth planetary bodies,25
38,ENV,dissipation,5;1;9,land,1
38,ENV,dissipation,5;1;9,water bodies,2
38,ENV,dissipation,5;1;9,air,3
38,ENV,oceanic regolith,5;1;23,continental margin regolith,1
38,ENV,oceanic regolith,5;1;23,seafloor regolith,2
38,ENV,consolidated crust,5;1;24,upper continental crust,1
38,ENV,consolidated crust,5;1;24,middle continental crust,2
38,ENV,consolidated crust,5;1;24,lower continental crust,3
38,ENV,consolidated crust,5;1;24,oceanic crust,4
